SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
ANDAMAN & NICOBAR ISLANDS,2000.0,Actual,53.0,59.0,171.3,218.1,422.8,357.0,176.3,460.8,250.1,321.2,158.3,115.2,2763.2
VIDARBHA,2000.0,Actual,0.1,16.4,0.1,0.1,28.8,235.9,472.1,286.2,54.0,11.0,0.0,0.5,1105.2
JHARKHAND,2000.0,Actual,3.6,21.2,6.3,19.6,67.7,185.3,358.4,152.8,356.9,19.1,0.4,0.2,1191.5
PUNJAB,2000.0,Actual,25.4,26.6,6.9,1.3,15.3,50.1,164.8,70.0,42.0,0.0,0.7,2.2,405.3
GANGETIC WEST BENGAL,2000.0,Actual,9.5,57.9,3.8,54.0,215.0,205.6,341.5,178.4,428.4,76.2,1.6,0.1,1572.1
SOUTH INTERIOR KARNATAKA,2000.0,Actual,1.4,15.5,0.3,46.3,59.3,167.5,200.5,300.6,183.5,206.2,14.1,12.1,1207.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,2000.0,Actual,10.7,36.2,55.1,185.1,326.5,649.6,574.3,498.1,465.8,82.9,22.6,1.2,2908.0
RAYALSEEMA,2000.0,Actual,0.0,34.3,0.2,22.1,73.8,92.7,94.7,241.5,102.9,134.7,37.7,36.7,871.3
TAMIL NADU,2000.0,Actual,30.3,74.5,9.4,41.6,54.7,52.2,45.8,136.1,169.8,120.3,148.6,88.9,972.0
HIMACHAL PRADESH,2000.0,Actual,118.2,119.0,68.1,25.6,79.9,198.0,265.1,126.7,50.1,0.0,10.5,6.9,1068.4
COASTAL KARNATAKA,2000.0,Actual,14.9,0.5,0.9,25.8,216.4,966.8,915.6,741.7,279.2,174.7,12.5,2.4,3351.3
MATATHWADA,2000.0,Actual,0.4,3.8,0.5,0.4,16.3,188.3,157.3,239.5,44.8,30.8,0.7,1.7,684.4
EAST MADHYA PRADESH,2000.0,Actual,0.1,0.0,0.1,0.1,7.4,167.5,377.7,208.2,111.4,1.8,0.0,0.0,874.2
CHHATTISGARH,2000.0,Actual,2.6,0.0,0.6,1.5,9.3,180.7,322.4,215.6,169.1,4.3,0.2,0.1,906.3
KERALA,2000.0,Actual,11.7,57.8,21.5,96.3,124.5,633.8,343.2,566.5,195.8,214.2,78.1,69.1,2412.6
LAKSHADWEEP,2000.0,Actual,83.3,18.9,3.4,47.9,204.6,225.4,95.5,319.9,164.5,141.4,56.3,11.0,1372.1
EAST RAJASTHAN,2000.0,Actual,0.3,0.6,0.4,2.3,21.0,20.2,270.6,95.5,28.7,0.4,0.0,0.1,440.0
SAURASHTRA & KUTCH,2000.0,Actual,0.0,0.0,0.0,0.0,2.9,5.4,224.7,46.2,4.5,2.2,0.0,0.1,286.1
COASTAL ANDHRA PRADESH,2000.0,Actual,0.1,42.4,0.7,19.1,68.4,200.5,154.1,311.5,102.9,69.6,10.6,12.4,992.3
HARYANA DELHI & CHANDIGARH,2000.0,Actual,17.1,29.1,1.4,1.3,22.8,58.9,146.8,87.9,17.5,0.0,0.4,1.2,384.4
WEST RAJASTHAN,2000.0,Actual,0.5,0.5,0.3,3.1,4.3,8.2,171.6,39.6,5.7,1.1,0.5,0.0,235.3
MADHYA MAHARASHTRA,2000.0,Actual,0.4,1.1,0.2,1.7,18.5,173.0,198.7,159.6,87.0,56.5,2.7,2.1,701.6
ARUNACHAL PRADESH,2000.0,Actual,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.6,2596.8
UTTARAKHAND,2000.0,Actual,29.9,69.4,37.9,18.1,83.3,313.9,420.1,536.1,195.3,1.1,7.0,0.7,1712.9
NORTH INTERIOR KARNATAKA,2000.0,Actual,0.4,2.6,0.1,8.4,49.0,107.5,127.1,164.6,134.4,115.1,2.8,0.5,712.4
NAGA MANI MIZO TRIPURA,2000.0,Actual,22.5,26.1,129.1,214.2,403.6,325.4,269.2,465.0,298.3,185.2,24.2,1.1,2363.9
WEST UTTAR PRADESH,2000.0,Actual,8.8,22.9,1.7,2.1,23.6,143.0,251.2,238.9,79.1,0.0,0.0,0.0,771.4
ORISSA,2000.0,Actual,0.9,33.3,1.1,21.3,74.7,233.7,272.3,273.6,158.0,26.6,1.6,0.1,1097.2
BIHAR,2000.0,Actual,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0.0,0.1,1207.0
TELANGANA,2000.0,Actual,0.6,16.8,1.0,16.3,48.8,253.2,220.9,420.5,70.7,20.2,6.4,2.5,1078.0
EAST UTTAR PRADESH,2000.0,Actual,2.6,5.3,2.9,10.5,38.6,199.1,240.9,204.7,222.7,1.3,18.1,0.2,946.8
JAMMU & KASHMIR,2000.0,Actual,159.5,106.6,90.4,30.4,51.1,95.5,193.7,123.6,73.2,1.4,21.0,38.2,984.6
ASSAM & MEGHALAYA,2000.0,Actual,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0
GUJARAT REGION,2000.0,Actual,0.0,0.1,0.0,0.0,36.1,62.9,301.1,133.0,13.5,0.2,0.0,3.6,550.6
WEST MADHYA PRADESH,2000.0,Actual,0.1,0.0,0.1,0.1,30.1,93.4,320.5,136.2,31.6,1.2,0.0,0.2,0.0
KONKAN & GOA,2000.0,Actual,1.2,0.0,0.0,0.9,190.3,739.4,1200.4,789.5,111.9,91.8,1.6,6.2,3133.2
GUJARAT REGION,2001.0,Actual,6.1,0.0,0.0,0.2,2.1,216.9,320.0,256.8,17.8,28.9,0.2,0.0,849.0
HARYANA DELHI & CHANDIGARH,2001.0,Actual,17.8,5.2,7.2,19.8,47.8,117.2,145.2,103.5,10.3,11.1,0.1,0.2,485.5
JAMMU & KASHMIR,2001.0,Actual,17.4,54.3,81.7,92.8,69.6,121.7,243.9,126.7,53.9,12.7,51.6,26.4,952.7
HIMACHAL PRADESH,2001.0,Actual,30.5,35.7,105.8,66.9,67.3,153.8,239.5,202.3,26.9,5.0,20.8,37.3,991.8
ANDAMAN & NICOBAR ISLANDS,2001.0,Actual,89.0,15.7,143.3,30.1,705.3,370.7,341.3,469.0,334.4,267.6,222.6,91.8,3080.9
UTTARAKHAND,2001.0,Actual,22.7,27.9,83.4,48.2,109.1,297.3,493.0,371.7,68.3,6.3,1.4,15.1,1544.4
SOUTH INTERIOR KARNATAKA,2001.0,Actual,0.5,1.1,1.7,90.6,30.4,127.2,168.2,152.0,189.9,122.7,40.0,2.1,926.3
NORTH INTERIOR KARNATAKA,2001.0,Actual,2.1,0.0,0.1,22.1,13.3,60.9,62.1,108.8,187.1,137.5,2.5,1.4,598.0
KONKAN & GOA,2001.0,Actual,5.6,0.0,0.0,2.8,59.6,540.1,873.4,611.3,207.9,91.6,3.1,0.0,2395.4
ASSAM & MEGHALAYA,2001.0,Actual,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4
KERALA,2001.0,Actual,16.5,28.3,7.0,238.0,238.6,715.3,598.5,361.3,216.8,319.6,181.0,10.1,2931.1
TELANGANA,2001.0,Actual,8.5,0.0,21.5,37.3,7.5,183.9,123.8,266.8,119.9,135.6,17.4,0.0,922.3
SAURASHTRA & KUTCH,2001.0,Actual,0.0,0.0,0.0,0.2,0.9,172.9,191.1,116.9,20.6,7.6,0.0,0.0,510.2
COASTAL ANDHRA PRADESH,2001.0,Actual,4.6,3.8,20.0,54.1,50.8,117.2,123.0,170.7,187.2,196.0,78.0,4.1,1009.3
WEST MADHYA PRADESH,2001.0,Actual,2.1,0.0,1.1,6.0,16.4,203.6,269.2,198.9,27.5,62.2,0.0,0.0,787.0
WEST UTTAR PRADESH,2001.0,Actual,2.5,2.3,2.6,12.0,29.6,164.4,282.0,122.1,26.7,16.3,1.1,0.1,661.7
WEST RAJASTHAN,2001.0,Actual,0.5,1.1,0.1,9.5,23.8,48.6,122.9,68.7,2.8,7.3,0.0,0.0,285.3
MADHYA MAHARASHTRA,2001.0,Actual,4.4,0.0,0.3,4.7,8.4,157.9,179.3,160.9,137.3,125.5,5.7,0.5,785.1
ARUNACHAL PRADESH,2001.0,Actual,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,2036.0
EAST RAJASTHAN,2001.0,Actual,0.9,0.1,0.3,6.4,22.9,100.2,271.4,126.4,7.7,9.2,0.0,5.8,551.2
LAKSHADWEEP,2001.0,Actual,4.4,20.4,0.0,104.6,187.3,283.9,198.9,144.3,213.5,105.2,101.5,16.6,1380.6
RAYALSEEMA,2001.0,Actual,7.7,0.0,6.5,68.2,24.5,24.0,70.1,95.8,195.5,352.5,41.7,38.1,924.5
EAST UTTAR PRADESH,2001.0,Actual,1.1,1.4,1.3,4.2,26.7,229.0,294.0,185.9,152.1,75.3,2.8,0.0,973.8
GANGETIC WEST BENGAL,2001.0,Actual,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0.0,1540.6
NAGA MANI MIZO TRIPURA,2001.0,Actual,1.5,46.9,38.8,83.6,313.8,478.0,322.6,263.0,269.0,266.4,65.4,0.2,2149.0
EAST MADHYA PRADESH,2001.0,Actual,2.3,0.8,2.4,23.0,12.4,255.5,468.4,243.9,50.4,110.0,1.0,0.0,1170.1
BIHAR,2001.0,Actual,1.0,0.5,3.0,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0.0,1247.0
COASTAL KARNATAKA,2001.0,Actual,0.6,0.4,0.4,71.4,156.9,930.0,926.9,654.4,151.8,169.7,48.6,0.6,3111.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2001.0,Actual,4.0,20.5,50.2,134.8,347.2,472.2,399.0,424.5,434.9,282.8,36.6,5.9,2612.6
JHARKHAND,2001.0,Actual,1.9,4.0,30.0,14.0,57.4,324.7,354.6,219.4,132.8,115.5,0.2,0.0,1254.4
PUNJAB,2001.0,Actual,8.0,2.1,6.2,24.5,36.9,93.8,173.9,69.5,19.9,1.5,0.9,3.8,441.0
CHHATTISGARH,2001.0,Actual,0.8,0.3,14.6,17.6,16.6,339.4,630.6,380.3,108.4,86.9,4.6,0.0,1600.1
TAMIL NADU,2001.0,Actual,21.8,10.9,13.0,93.8,45.0,39.9,37.2,18.7,53.8,69.5,52.3,27.6,483.4
MATATHWADA,2001.0,Actual,4.8,0.5,0.5,9.9,0.7,148.7,56.7,255.8,83.5,170.5,0.8,0.0,732.4
VIDARBHA,2001.0,Actual,8.9,0.1,15.2,18.3,7.9,338.6,202.0,359.8,37.4,129.2,4.7,0.0,1122.1
ORISSA,2001.0,Actual,0.4,1.4,32.3,28.7,71.0,336.1,584.2,380.9,132.0,86.8,18.7,0.0,1672.5
COASTAL KARNATAKA,2002.0,Actual,0.6,11.2,0.5,30.9,164.0,764.5,545.7,731.3,163.5,360.0,20.7,0.3,2793.1
ARUNACHAL PRADESH,2002.0,Actual,74.2,37.2,126.3,248.2,197.1,396.8,604.0,290.7,257.9,94.0,45.0,17.9,2389.2
TAMIL NADU,2002.0,Actual,2.9,22.1,3.9,9.2,32.6,23.7,11.8,26.5,32.2,93.7,47.2,12.2,318.0
UTTARAKHAND,2002.0,Actual,53.8,123.2,100.0,76.3,82.3,139.6,205.7,465.4,301.3,19.9,3.0,4.2,1574.7
NORTH INTERIOR KARNATAKA,2002.0,Actual,3.8,7.9,0.3,14.7,40.6,108.2,54.7,118.2,52.2,126.4,3.4,0.0,530.5
MATATHWADA,2002.0,Actual,5.5,4.1,0.7,6.1,8.5,241.8,58.2,223.6,122.4,46.4,4.8,0.0,722.1
NAGA MANI MIZO TRIPURA,2002.0,Actual,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6.0,2242.3
CHHATTISGARH,2002.0,Actual,41.5,4.9,12.2,3.3,32.1,196.3,138.4,352.4,122.3,57.8,13.3,15.9,990.2
BIHAR,2002.0,Actual,13.4,11.3,2.2,25.0,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,2002.0,Actual,30.1,10.0,95.6,237.1,181.7,407.2,743.3,406.6,340.1,75.7,8.7,10.8,2547.0
HIMACHAL PRADESH,2002.0,Actual,66.7,136.5,136.9,124.0,27.0,56.1,81.8,225.6,123.1,8.2,0.7,3.9,990.4
WEST RAJASTHAN,2002.0,Actual,0.3,2.6,1.0,1.4,11.2,26.9,2.4,17.2,20.6,0.1,2.5,6.0,92.4
COASTAL ANDHRA PRADESH,2002.0,Actual,28.0,0.0,7.3,34.8,35.0,115.2,74.7,173.5,71.7,148.7,14.3,0.0,703.2
HARYANA DELHI & CHANDIGARH,2002.0,Actual,11.6,31.1,9.0,1.1,52.0,21.2,19.4,78.2,123.0,1.9,0.0,8.8,357.2
SAURASHTRA & KUTCH,2002.0,Actual,0.0,0.0,0.0,0.0,0.0,166.4,8.0,117.5,15.1,0.2,0.2,0.6,308.1
MADHYA MAHARASHTRA,2002.0,Actual,1.7,3.1,1.0,13.0,14.4,251.9,95.6,221.5,95.8,36.3,5.9,0.0,740.3
RAYALSEEMA,2002.0,Actual,25.6,3.2,7.7,17.5,55.0,90.8,42.9,69.8,78.2,167.5,44.2,12.9,615.2
EAST RAJASTHAN,2002.0,Actual,1.6,11.0,0.1,1.2,8.6,71.4,13.5,130.6,41.2,0.8,0.8,4.5,285.3
GANGETIC WEST BENGAL,2002.0,Actual,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.1,1613.3
ORISSA,2002.0,Actual,11.7,0.2,13.1,25.1,67.5,182.4,170.2,371.2,206.5,47.1,7.8,0.0,1102.8
PUNJAB,2002.0,Actual,2.4,6.6,6.8,3.3,20.8,24.7,50.4,58.4,95.0,2.6,0.0,3.7,274.7
JAMMU & KASHMIR,2002.0,Actual,58.7,101.2,105.5,86.3,33.0,94.2,78.7,217.4,97.9,15.2,0.7,14.6,903.5
SOUTH INTERIOR KARNATAKA,2002.0,Actual,2.0,11.4,2.3,20.6,77.2,131.9,92.6,155.1,74.9,168.4,18.8,0.6,755.8
ASSAM & MEGHALAYA,2002.0,Actual,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7
KONKAN & GOA,2002.0,Actual,0.0,0.0,0.1,2.8,9.4,942.0,452.8,834.5,217.1,75.3,3.0,0.3,2537.2
KERALA,2002.0,Actual,4.7,8.7,35.7,117.3,330.8,503.1,318.7,438.2,99.0,511.7,137.5,2.1,2507.4
TELANGANA,2002.0,Actual,18.8,10.1,7.6,7.7,32.0,143.2,91.7,321.7,52.4,76.2,3.9,0.0,765.3
EAST UTTAR PRADESH,2002.0,Actual,15.0,26.1,0.6,2.5,29.2,50.6,101.7,212.1,226.7,20.6,1.4,2.7,689.1
ANDAMAN & NICOBAR ISLANDS,2002.0,Actual,10.6,0.0,11.5,100.2,366.7,358.3,317.4,429.8,420.0,169.0,306.7,129.9,2620.2
WEST MADHYA PRADESH,2002.0,Actual,0.4,19.7,1.5,1.7,3.9,138.9,46.9,317.7,141.0,5.9,5.9,0.8,684.1
LAKSHADWEEP,2002.0,Actual,10.8,16.8,7.2,23.4,189.8,261.8,81.3,143.9,50.0,178.2,52.9,17.4,1033.5
GUJARAT REGION,2002.0,Actual,4.1,0.0,0.1,0.0,0.0,234.2,45.8,238.5,113.7,0.6,0.1,0.1,637.2
VIDARBHA,2002.0,Actual,2.4,4.0,1.1,2.9,8.2,301.1,88.1,352.5,128.6,35.2,1.9,0.1,925.8
WEST UTTAR PRADESH,2002.0,Actual,16.8,37.6,2.0,0.7,21.5,29.0,29.6,252.3,218.1,6.7,0.4,10.5,625.2
JHARKHAND,2002.0,Actual,9.0,5.4,10.7,11.5,38.7,184.9,186.8,277.4,253.4,55.0,1.3,0.8,1034.9
EAST MADHYA PRADESH,2002.0,Actual,1.8,29.6,1.2,0.2,5.2,93.5,84.7,491.8,192.1,43.1,5.6,1.2,950.2
EAST UTTAR PRADESH,2003.0,Actual,13.8,36.9,2.6,8.8,2.0,124.9,255.2,301.4,333.8,7.6,0.0,9.3,1096.4
BIHAR,2003.0,Actual,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142.0,0.2,3.0,1353.9
VIDARBHA,2003.0,Actual,0.0,4.4,3.6,2.7,3.0,140.2,401.0,280.9,138.0,42.6,0.8,1.3,1018.6
GANGETIC WEST BENGAL,2003.0,Actual,0.5,11.7,70.0,36.3,81.9,280.5,253.4,239.3,155.0,341.5,8.9,17.7,1496.7
PUNJAB,2003.0,Actual,10.6,56.4,19.4,3.0,3.9,40.7,136.7,94.7,52.2,0.0,2.2,5.0,424.6
WEST MADHYA PRADESH,2003.0,Actual,1.1,21.1,0.1,1.0,0.3,128.7,307.5,228.0,254.9,0.9,0.2,2.5,946.4
GUJARAT REGION,2003.0,Actual,0.0,6.1,0.1,0.0,0.0,209.3,518.7,314.6,109.5,1.9,0.0,0.0,1160.3
EAST MADHYA PRADESH,2003.0,Actual,0.7,59.6,2.2,1.0,0.4,119.9,366.8,370.2,493.3,20.5,0.5,2.9,1438.1
ANDAMAN & NICOBAR ISLANDS,2003.0,Actual,44.3,7.9,149.2,19.4,296.3,159.9,494.9,379.4,371.9,310.4,74.1,48.0,2355.9
COASTAL KARNATAKA,2003.0,Actual,0.1,3.6,8.4,37.3,10.2,973.8,970.6,637.5,236.0,183.7,10.7,0.0,3071.9
RAYALSEEMA,2003.0,Actual,0.0,1.3,26.1,15.0,4.1,57.4,183.4,116.4,124.9,175.5,11.7,9.6,725.5
EAST RAJASTHAN,2003.0,Actual,4.1,21.4,0.5,0.2,3.5,76.6,245.8,178.5,93.6,0.1,0.0,2.3,626.6
WEST RAJASTHAN,2003.0,Actual,2.5,21.2,0.8,0.4,1.8,45.2,188.4,93.6,13.9,0.2,0.0,0.1,368.1
SAURASHTRA & KUTCH,2003.0,Actual,0.0,0.4,0.0,0.0,0.0,68.2,402.2,190.7,21.7,3.0,0.0,0.0,686.2
CHHATTISGARH,2003.0,Actual,3.7,17.7,12.1,2.6,0.7,128.7,446.6,519.7,384.1,157.6,5.8,14.9,1694.3
ASSAM & MEGHALAYA,2003.0,Actual,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250.0,231.8,13.0,18.6,2434.1
COASTAL ANDHRA PRADESH,2003.0,Actual,6.2,19.4,40.7,19.4,12.2,104.0,241.7,158.3,130.2,252.3,11.5,101.1,1096.8
HARYANA DELHI & CHANDIGARH,2003.0,Actual,14.7,29.9,4.0,1.8,7.5,26.6,277.6,165.3,58.9,0.0,0.1,11.0,597.6
TAMIL NADU,2003.0,Actual,0.3,4.1,18.0,17.1,19.8,22.5,38.7,49.3,26.1,86.0,59.5,7.1,348.5
NORTH INTERIOR KARNATAKA,2003.0,Actual,0.3,1.5,15.2,24.9,3.5,66.9,94.4,104.0,64.3,92.1,4.2,2.2,473.5
ARUNACHAL PRADESH,2003.0,Actual,22.9,83.2,109.6,182.0,173.5,424.3,645.3,327.2,259.9,182.6,25.0,16.2,2451.8
MADHYA MAHARASHTRA,2003.0,Actual,0.8,2.2,1.5,5.7,15.1,210.8,208.7,178.4,116.2,29.5,3.5,0.1,772.6
UTTARAKHAND,2003.0,Actual,40.7,126.0,99.7,54.1,67.1,145.2,515.3,416.2,239.9,1.8,4.8,23.6,1734.3
LAKSHADWEEP,2003.0,Actual,11.8,18.2,28.5,18.1,109.6,364.5,400.6,92.1,84.3,191.6,206.1,7.5,1532.9
JAMMU & KASHMIR,2003.0,Actual,26.9,267.2,170.9,117.5,111.3,41.0,136.0,185.5,126.1,13.3,33.7,81.7,1311.1
ORISSA,2003.0,Actual,0.1,16.2,21.6,24.7,22.6,178.9,367.5,425.1,264.3,287.4,11.0,28.8,1648.2
KERALA,2003.0,Actual,0.7,50.9,82.1,134.4,91.0,566.7,532.0,350.3,93.6,407.0,76.4,9.7,2394.9
KONKAN & GOA,2003.0,Actual,0.5,0.6,0.8,1.2,11.2,865.3,1013.9,593.7,298.7,54.4,1.9,0.0,2842.3
SOUTH INTERIOR KARNATAKA,2003.0,Actual,0.1,4.2,20.1,36.4,9.6,118.2,162.5,152.2,51.9,192.4,11.5,3.6,762.8
TELANGANA,2003.0,Actual,0.0,10.7,21.9,14.0,7.9,112.6,312.2,266.5,103.2,101.7,7.3,5.3,963.2
WEST UTTAR PRADESH,2003.0,Actual,18.6,40.4,2.5,4.4,5.9,74.1,315.6,214.2,356.6,0.7,0.8,13.6,1047.5
JHARKHAND,2003.0,Actual,3.3,30.5,33.6,17.9,21.5,152.4,247.5,245.1,224.0,255.5,6.2,7.4,1245.0
NAGA MANI MIZO TRIPURA,2003.0,Actual,3.8,11.5,78.0,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.9,2162.2
MATATHWADA,2003.0,Actual,2.1,1.3,2.3,4.9,28.5,117.6,255.9,183.9,95.7,22.1,4.9,0.8,720.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2003.0,Actual,17.0,79.2,90.1,171.4,211.7,516.6,703.0,354.0,321.4,223.0,16.4,19.2,2723.3
HIMACHAL PRADESH,2003.0,Actual,39.5,116.6,113.0,52.9,35.9,61.4,187.7,228.7,135.5,0.3,22.5,40.4,1034.5
ANDAMAN & NICOBAR ISLANDS,2004.0,Actual,54.5,35.9,36.5,41.6,505.1,423.9,378.9,308.7,280.7,223.9,169.9,0.4,2460.1
GUJARAT REGION,2004.0,Actual,0.0,0.0,0.0,0.0,4.4,135.5,238.2,553.7,51.8,22.2,0.0,0.0,1005.8
EAST MADHYA PRADESH,2004.0,Actual,19.8,0.4,0.0,1.7,3.9,208.1,203.1,369.1,119.9,25.2,4.1,0.0,955.3
LAKSHADWEEP,2004.0,Actual,7.2,1.5,1.9,7.7,330.2,251.2,280.8,169.5,200.0,193.4,107.6,2.2,1553.2
ORISSA,2004.0,Actual,6.8,8.0,6.4,49.2,29.7,216.4,328.0,346.4,148.1,149.6,1.8,0.0,1290.4
PUNJAB,2004.0,Actual,32.4,5.7,0.0,15.5,27.2,48.8,52.1,124.2,8.9,31.2,0.8,5.0,351.7
ARUNACHAL PRADESH,2004.0,Actual,38.0,39.1,175.5,210.2,298.7,402.9,654.3,243.0,278.5,184.8,5.6,15.2,2545.7
KONKAN & GOA,2004.0,Actual,0.0,0.0,0.0,10.4,46.9,678.6,902.3,1011.5,293.3,32.9,10.2,0.0,2985.9
ASSAM & MEGHALAYA,2004.0,Actual,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3
KERALA,2004.0,Actual,2.4,8.1,37.9,113.2,610.9,673.4,385.4,417.9,192.8,320.6,120.7,2.7,2886.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2004.0,Actual,19.9,11.5,40.5,163.5,287.5,489.5,739.5,356.4,394.7,198.4,9.0,4.4,2714.7
EAST RAJASTHAN,2004.0,Actual,2.5,0.0,0.0,2.2,9.3,52.8,105.8,380.9,24.7,27.5,0.4,0.1,606.2
RAYALSEEMA,2004.0,Actual,10.2,4.3,12.9,35.1,149.7,39.8,122.9,23.1,153.7,124.4,65.6,0.0,741.7
TELANGANA,2004.0,Actual,34.4,17.9,9.3,25.9,34.6,64.6,216.7,117.7,110.1,30.6,5.3,0.0,667.0
WEST MADHYA PRADESH,2004.0,Actual,16.8,0.0,0.0,0.4,4.8,83.7,218.0,421.9,55.7,43.7,2.2,0.8,848.1
BIHAR,2004.0,Actual,22.7,2.1,2.2,32.0,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0.0,1147.8
EAST UTTAR PRADESH,2004.0,Actual,22.8,1.8,0.0,8.7,25.8,161.0,219.5,147.6,126.5,33.0,0.1,0.1,746.9
COASTAL KARNATAKA,2004.0,Actual,0.0,0.0,6.3,24.7,329.2,805.8,718.1,874.5,154.4,104.7,52.1,0.0,3070.0
GANGETIC WEST BENGAL,2004.0,Actual,3.3,1.6,14.9,62.8,72.9,287.5,250.7,389.9,264.3,220.7,0.0,0.8,1569.4
WEST RAJASTHAN,2004.0,Actual,2.4,0.0,0.0,4.8,6.0,33.5,26.9,94.3,8.6,18.7,0.0,1.6,196.7
HARYANA DELHI & CHANDIGARH,2004.0,Actual,25.4,0.3,0.0,18.1,40.7,52.5,19.9,252.9,22.1,54.1,0.0,1.2,487.3
